,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-06-28,0.0,0.0,-8.977594779939616e-18
2019-07-01,-0.012117373399999987,0.007674031499999991,-5.81704474727121e-18
2019-07-02,-0.005597148499999993,0.0026654408999999967,8.388209193226585e-20
2019-07-03,-0.007970030799999991,0.00807203759999999,2.4736765451845175e-18
2019-07-05,-0.0007552345999999991,-0.0014198656999999983,-5.166086563929568e-19
2019-07-08,0.004230594799999995,-0.005112293799999994,6.767566453823817e-18
2019-07-09,-0.00030627389999999963,0.0020152090999999974,4.626666612536765e-19
2019-07-10,0.0005809963999999993,0.004257145099999995,1.1527418662876805e-18
2019-07-11,-0.0019520903999999978,0.0020296481999999972,-2.198901128719629e-19
2019-07-12,-0.003288854199999996,0.004937979699999994,-1.1456958108501254e-18
2019-07-15,1.1682399999999987e-05,0.00014601019999999982,-1.0402026263662487e-18
2019-07-16,-0.0005504869999999994,-0.0032604217999999963,4.0629926683539685e-19
2019-07-17,0.0045685318999999945,-0.006152978899999992,5.293435434471289e-19
2019-07-18,-0.0005257190999999994,0.0036336890999999955,2.733212705656438e-18
2019-07-19,0.0014547015999999983,-0.006100755599999992,-2.084435537903994e-18
2019-07-22,-0.0012251100999999985,0.0027131389999999964,3.3413363397539758e-18
2019-07-23,-0.011701996299999986,0.006849244099999991,-1.1813471896180093e-18
2019-07-24,-0.004454720499999995,0.005440000499999993,-2.1120698570115824e-18
2019-07-25,0.006079092699999993,-0.005680561899999993,-1.2694616461733621e-18
2019-07-26,-0.005953231999999993,0.007655819899999991,-6.42751003766411e-19
2019-07-29,0.0018913130999999978,-0.0020809861999999974,3.1463723403865925e-19
2019-07-30,0.004699014799999995,-0.001983964799999997,-1.013148292332309e-18
2019-07-31,0.006566100299999992,-0.010585102099999988,1.752199216228536e-18
2019-08-01,-0.0009269435999999999,-0.003900361177841263,-0.0046944350926939145
2019-08-02,0.014489090699999999,-0.0032982362559692653,-0.008178300117987314
2019-08-05,0.031228232299999995,-0.01250603103074445,-0.009352900268705984
2019-08-06,-0.005120123599999999,0.0055320138418095514,-0.00904995423099201
2019-08-07,-2.4390899999999997e-05,0.0004988178407850051,-0.001863007663534864
2019-08-08,-0.017118071899999997,0.008103048399550011,0.0054266749863742655
2019-08-09,0.004948096999999999,-0.002863886243714374,-0.00410822061605237
2019-08-12,0.009506913899999999,-0.005111473027778885,0.008430880254759644
2019-08-13,-0.010183026799999998,0.006036378357451059,-0.003652752010856167
2019-08-14,0.018065830799999995,-0.012139948395138172,0.002420815364426547
2019-08-15,-0.0021579554999999998,0.0009810706188609778,0.0014374113676656963
2019-08-16,-0.012523750699999999,0.006240351591072755,0.0016505161011577327
2019-08-19,-0.011735311199999997,0.004892720575211918,0.012196317883119992
2019-08-20,0.0046388626999999995,-0.00315585154444712,-0.0006174580838485415
2019-08-21,-0.006948646499999999,0.003497496320228329,6.549142752566992e-05
2019-08-22,0.0005571495999999999,-0.0002193365600767477,0.0006296172194163794
2019-08-23,0.018834191399999995,-0.010763686851057096,0.0028253826914000878
2019-08-26,-0.004143517499999999,0.0044656976343766955,-0.006787175035712993
2019-08-27,-0.0013620013999999998,-0.0015347466721016383,0.007843500845957311
2019-08-28,-0.0053880863999999995,0.0026689897223429347,-0.001687316825774308
2019-08-29,-0.010662339599999997,0.005438511721790605,-0.000573014158626273
2019-08-30,-0.007868667499999999,0.0003046623901035206,-0.0009380428130998741
2019-09-03,0.003472660572502445,-0.0071589225,-0.00010451357116573714
2019-09-04,-0.004110649983172216,0.0108914342,-0.00047213912641589674
2019-09-05,-0.00967636813468269,0.0131733691,-0.0004869108188441955
2019-09-06,-0.0018377925697478125,0.000722729,-0.00023320393124913146
2019-09-09,0.0012228154895834278,-0.0003243108,-0.000423801966896907
2019-09-10,-0.0013270184754456042,0.0003281212,5.91490134196684e-05
2019-09-11,-0.010359612669884409,0.0076359435,0.0002085495825973673
2019-09-12,-0.0005602469546694931,0.0027690126,-0.00037880533445054296
2019-09-16,-0.0029921227303463488,-0.0022073127,8.295155489668507e-06
2019-09-17,0.001767592729437041,0.0026140836,0.0008799073029736373
2019-09-18,0.001090148577817822,1.58661e-05,-0.00012810717297696855
2019-09-19,-0.0020580376883680214,6.06402e-05,-0.00023127744623419294
2019-09-20,-0.0009609762882236986,-0.0047148571,-0.00012091720674965202
2019-09-23,0.0004218184874018025,1.02255e-05,0.0004958683351107118
2019-09-24,0.00466543034284292,-0.0088986315,-0.00014066673410751543
2019-09-25,-0.003920603332893706,0.0063079822,0.0005081303250227379
2019-09-26,-0.0012057402478825381,-0.0026046105,0.0004514270227056386
2019-09-27,0.003120690099333135,-0.0056695683,-5.299438895532575e-05
2019-09-30,-0.005740736435984955,0.0052881575,0.0004675471193870522
2019-10-08,0.008767850999999993,-0.015937782799999994,-9.271571899116537e-19
2019-10-09,-0.004123970999999996,0.009400820899999997,-1.24236525511634e-18
2019-10-10,-0.0027432476999999975,0.006096283399999998,-2.501160546730663e-18
2019-10-11,-0.01161901259999999,0.011459963699999996,-2.814538477280415e-18
2019-10-14,0.0007998609999999994,-0.0014239821999999993,-3.677235903276621e-18
2019-10-15,-0.008757029199999994,0.009736806299999996,1.787801431896163e-18
2019-10-16,0.0016675172999999987,-0.0024991172999999987,1.3201293003195503e-18
2019-10-17,0.0030669051999999974,0.003134895499999999,1.3909719209781459e-19
2019-10-18,0.005026322899999994,-0.004008084499999998,4.202670891850779e-18
2019-10-21,-0.005604500999999994,0.006780904999999998,-1.6176386480326598e-19
2019-10-22,0.0010270511999999992,-0.003855907699999998,-1.6012728004666243e-18
2019-10-23,-0.0029743211999999973,0.002712362899999999,1.3787903235806807e-18
2019-10-24,-0.004663047199999997,0.0026993211999999985,7.664349988001363e-20
2019-10-25,-0.004348245499999997,0.0043054170999999985,-1.5280584131360796e-18
2019-10-28,-0.0035440559999999964,0.005649876499999997,-2.7126554807965775e-18
2019-10-29,0.0012484878999999987,-0.0008363244999999997,2.7705717081660807e-18
